year,age,rate_per_100k
1979,Overall,8.019672466
1980,Overall,10.33221698
1981,Overall,11.95298031
1982,Overall,12.52473708
1983,Overall,9.060943795
1984,Overall,11.11956049
1985,Overall,13.04261062
1986,Overall,13.03816549
1987,Overall,13.14390341
1988,Overall,14.06958342
1989,Overall,14.37665823
1990,Overall,13.64535236
1991,Overall,13.88001329
1992,Overall,14.56101533
1993,Overall,15.03291692
1994,Overall,15.12523344
1995,Overall,15.40656808
1996,Overall,15.01524728
1997,Overall,14.85917348
1998,Overall,14.59534204
1999,Overall,14.25233547
2000,Overall,13.43801222
2001,Overall,13.23848671
2002,Overall,12.9864233
2003,Overall,12.56360691
2004,Overall,11.74133538
2005,Overall,11.15437432
2006,Overall,11.44813547
2007,Overall,11.65112223
2008,Overall,11.46738885
2009,Overall,11.20129873
2010,Overall,10.83624667
2011,Overall,10.17844533
2012,Overall,10.47329929
2013,Overall,10.14937798
2014,Overall,10.10940219
2015,Overall,10.13040828
1979,05-14,0.1958371721
1979,15-24,4.686995313
1979,25-34,6.355933677
1979,35-54,8.060096798
1979,55-74,10.45204089
1979,75+,18.36713095
1980,05-14,0.377560329
1980,15-24,6.712937175
1980,25-34,9.061148603
1980,35-54,10.93717738
1980,55-74,13.0060328
1980,75+,21.89844561
1981,05-14,0.4128898049
1981,15-24,7.566171194
1981,25-34,11.52200458
1981,35-54,14.60136884
1981,55-74,15.83294708
1981,75+,21.78250036
1982,05-14,0.3457320688
1982,15-24,7.81293963
1982,25-34,12.31865264
1982,35-54,15.37662182
1982,55-74,16.09950841
1982,75+,23.19496791
1983,05-14,0.3500742275
1983,15-24,5.938070171
1983,25-34,8.118450449
1983,35-54,9.69545152
1983,55-74,11.96196842
1983,75+,18.30164798
1984,05-14,0.4961224448
1984,15-24,7.864388528
1984,25-34,10.6734018
1984,35-54,11.71242972
1984,55-74,13.76671736
1984,75+,22.20430309
1985,05-14,0.548094456
1985,15-24,7.748735599
1985,25-34,11.59972403
1985,35-54,15.69480404
1985,55-74,17.27215123
1985,75+,25.39215435
1986,05-14,0.5319227513
1986,15-24,7.745997847
1986,25-34,11.54313739
1986,35-54,14.5161233
1986,55-74,16.83851856
1986,75+,27.05329308
1987,05-14,0.5447519493
1987,15-24,7.441224928
1987,25-34,11.52161904
1987,35-54,14.62009163
1987,55-74,17.58632363
1987,75+,27.1494093
1988,05-14,0.6015491839
1988,15-24,8.498295436
1988,25-34,12.7270158
1988,35-54,15.33552757
1988,55-74,18.17688423
1988,75+,29.0782283
1989,05-14,0.6348141389
1989,15-24,9.064975069
1989,25-34,12.97460053
1989,35-54,16.03852436
1989,55-74,18.58957616
1989,75+,28.95745911
1990,05-14,0.5711360312
1990,15-24,8.677063519
1990,25-34,12.63081327
1990,35-54,15.06904201
1990,55-74,17.12688082
1990,75+,27.79717851
1991,05-14,0.5841880711
1991,15-24,9.480503912
1991,25-34,12.61745673
1991,35-54,15.3593523
1991,55-74,17.45209668
1991,75+,27.78648205
1992,05-14,0.6393801656
1992,15-24,9.360211665
1992,25-34,13.11845988
1992,35-54,16.85616925
1992,55-74,19.12865032
1992,75+,28.26322074
1993,05-14,0.8289605497
1993,15-24,9.617413699
1993,25-34,14.0169242
1993,35-54,18.03224537
1993,55-74,19.3755564
1993,75+,28.32640131
1994,05-14,0.669529822
1994,15-24,9.681087788
1994,25-34,13.25340845
1994,35-54,17.81424326
1994,55-74,19.37491734
1994,75+,29.95821397
1995,05-14,0.5782479495
1995,15-24,9.862666677
1995,25-34,14.09788993
1995,35-54,18.20944451
1995,55-74,19.0103298
1995,75+,30.68082964
1996,05-14,0.7160927593
1996,15-24,10.03299368
1996,25-34,14.12571462
1996,35-54,17.65419193
1996,55-74,18.90658105
1996,75+,28.65590966
1997,05-14,0.6068744882
1997,15-24,10.14914345
1997,25-34,13.7434658
1997,35-54,16.78075683
1997,55-74,19.12000144
1997,75+,28.75479888
1998,05-14,0.6839006885
1998,15-24,10.24341782
1998,25-34,13.48143355
1998,35-54,16.9442556
1998,55-74,18.73264664
1998,75+,27.48639796
1999,05-14,0.6374962853
1999,15-24,10.31413409
1999,25-34,13.93110483
1999,35-54,17.02494554
1999,55-74,18.11106583
1999,75+,25.49526627
2000,05-14,0.5288480139
2000,15-24,8.859218642
2000,25-34,13.29505404
2000,35-54,15.97968073
2000,55-74,16.96957734
2000,75+,24.99569453
2001,05-14,0.5676006235
2001,15-24,8.775853681
2001,25-34,12.87343175
2001,35-54,15.8415179
2001,55-74,16.77442893
2001,75+,24.59808738
2002,05-14,0.6451578798
2002,15-24,8.860304155
2002,25-34,12.64154862
2002,35-54,15.31755824
2002,55-74,16.38036358
2002,75+,24.07360733
2003,05-14,0.6478972323
2003,15-24,8.590915385
2003,25-34,12.16618889
2003,35-54,15.43068482
2003,55-74,16.46157226
2003,75+,22.08438286
2004,05-14,0.5640023835
2004,15-24,8.079182523
2004,25-34,11.41914015
2004,35-54,14.29031713
2004,55-74,15.03056893
2004,75+,21.06480119
2005,05-14,0.667330774
2005,15-24,7.497456509
2005,25-34,10.78860316
2005,35-54,13.38646621
2005,55-74,14.35657122
2005,75+,20.22981803
2006,05-14,0.5848592558
2006,15-24,8.172345579
2006,25-34,10.44751248
2006,35-54,13.74808083
2006,55-74,14.03697942
2006,75+,21.69903522
2007,05-14,0.7346415759
2007,15-24,7.866296575
2007,25-34,11.67636738
2007,35-54,13.55486303
2007,55-74,13.9212185
2007,75+,22.15334631
2008,05-14,0.5776098163
2008,15-24,7.964951127
2008,25-34,11.25537451
2008,35-54,14.03566847
2008,55-74,14.40747117
2008,75+,20.56325801
2009,05-14,0.6128078368
2009,15-24,7.688873703
2009,25-34,10.93241187
2009,35-54,13.78346197
2009,55-74,14.24664278
2009,75+,19.94359423
2010,05-14,0.6209393372
2010,15-24,7.549095255
2010,25-34,10.67718821
2010,35-54,13.55070031
2010,55-74,13.35429283
2010,75+,19.26526409
2011,05-14,0.6426902178
2011,15-24,7.702250311
2011,25-34,9.991091265
2011,35-54,12.1573384
2011,55-74,12.7292878
2011,75+,17.84801401
2012,05-14,0.6113415336
2012,15-24,7.696757239
2012,25-34,10.32139919
2012,35-54,12.31100306
2012,55-74,13.01945144
2012,75+,18.87984329
2013,05-14,0.6120727596
2013,15-24,7.556258899
2013,25-34,10.07304886
2013,35-54,12.0708254
2013,55-74,13.12091199
2013,75+,17.46314998
2014,05-14,0.7383515085
2014,15-24,6.959809221
2014,25-34,9.894307805
2014,35-54,11.66763038
2014,55-74,12.8617547
2014,75+,18.53455954
2015,05-14,0.7276885921
2015,15-24,7.362416976
2015,25-34,9.71828922
2015,35-54,11.50437492
2015,55-74,12.95568698
2015,75+,18.51399301